State,Population,FIPS
Alaska,741894,"""02"""
Georgia,10310371,"""13"""
Hawaii,1428557,"""15"""
Idaho,1683140,"""16"""
Illinois,12801539,"""17"""
Indiana,6633053,"""18"""
Iowa,3134693,"""19"""
Kansas,2907289,"""20"""
Kentucky,4436974,"""21"""
Louisiana,4681666,"""22"""
Maine,1331479,"""23"""
Arizona,6931071,"""04"""
Maryland,6016447,"""24"""
Massachusetts,6811779,"""25"""
Michigan,9928300,"""26"""
Minnesota,5519952,"""27"""
Missouri,6093000,"""29"""
Mississippi,2988726,"""28"""
Montana,1042520,"""30"""
Nebraska,1907116,"""31"""
Nevada,2940058,"""32"""
New Hampshire,1334795,"""33"""
Arkansas,2988248,"""05"""
New Jersey,8944469,"""34"""
New Mexico,2081015,"""35"""
New York,19745289,"""36"""
North Carolina,10146788,"""37"""
North Dakota,757952,"""38"""
Ohio,11614373,"""39"""
Oklahoma,3923561,"""40"""
Oregon,4093465,"""41"""
Pennsylvania,12784227,"""42"""
Rhode Island,1056426,"""44"""
California,39250017,"""06"""
South Carolina,4961119,"""45"""
South Dakota,865454,"""46"""
Tennessee,6651194,"""47"""
Texas,27862596,"""48"""
Utah,3051217,"""49"""
Vermont,624594,"""50"""
Virginia,8411808,"""51"""
Washington,7288000,"""53"""
West Virginia,1831102,"""54"""
Wisconsin,5778708,"""55"""
Colorado,5540545,"""08"""
Wyoming,585501,"""56"""
Connecticut,3576452,"""09"""
Delaware,952065,"""10"""
District of Columbia,681170,"""11"""
Florida,20612439,"""12"""
Alabama,4863300,"""01"""
